"d1_1","d1_2","d1_3","d1_4","D2_rideshare","D2_metro_LADOT","D2_navigation","d3_1","d3_2","d3_3","D4","D5","D6","D7","d8_1","d8_2","d8_3","d8_4","vector_representation","Arch_ID","Stratum"
0,1,0,0,0,2,2,0,0,1,4,0,1,1,1,0,0,1,"D1=[0,1,0,0]; D2=[0,2,2]; D3=[0,0,1]; D4=4; D5=0; D6=1; D7=1; D8=[1,0,0,1]",35,"D5=0_D6=1"
0,0,1,1,2,0,2,1,1,0,2,0,1,0,0,0,1,0,"D1=[0,0,1,1]; D2=[2,0,2]; D3=[1,1,0]; D4=2; D5=0; D6=1; D7=0; D8=[0,0,1,0]",36,"D5=0_D6=1"
0,0,1,1,0,2,0,1,0,0,1,0,1,0,0,1,0,0,"D1=[0,0,1,1]; D2=[0,2,0]; D3=[1,0,0]; D4=1; D5=0; D6=1; D7=0; D8=[0,1,0,0]",37,"D5=0_D6=1"
0,0,1,0,0,1,1,0,0,1,2,0,1,2,0,1,0,1,"D1=[0,0,1,0]; D2=[0,1,1]; D3=[0,0,1]; D4=2; D5=0; D6=1; D7=2; D8=[0,1,0,1]",38,"D5=0_D6=1"
0,1,0,0,2,0,1,0,0,1,3,0,1,2,0,0,1,0,"D1=[0,1,0,0]; D2=[2,0,1]; D3=[0,0,1]; D4=3; D5=0; D6=1; D7=2; D8=[0,0,1,0]",39,"D5=0_D6=1"
1,1,1,0,1,0,1,0,1,0,2,0,1,2,1,0,1,1,"D1=[1,1,1,0]; D2=[1,0,1]; D3=[0,1,0]; D4=2; D5=0; D6=1; D7=2; D8=[1,0,1,1]",40,"D5=0_D6=1"
1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,"D1=[1,1,1,0]; D2=[1,1,1]; D3=[0,1,0]; D4=1; D5=0; D6=1; D7=0; D8=[1,0,0,1]",41,"D5=0_D6=1"
1,1,0,0,2,1,0,0,0,1,1,0,1,2,0,0,1,1,"D1=[1,1,0,0]; D2=[2,1,0]; D3=[0,0,1]; D4=1; D5=0; D6=1; D7=2; D8=[0,0,1,1]",42,"D5=0_D6=1"
0,0,1,0,0,2,0,0,1,1,2,0,1,0,1,0,0,0,"D1=[0,0,1,0]; D2=[0,2,0]; D3=[0,1,1]; D4=2; D5=0; D6=1; D7=0; D8=[1,0,0,0]",43,"D5=0_D6=1"
1,0,1,1,0,1,0,1,1,1,4,0,1,0,0,1,0,1,"D1=[1,0,1,1]; D2=[0,1,0]; D3=[1,1,1]; D4=4; D5=0; D6=1; D7=0; D8=[0,1,0,1]",44,"D5=0_D6=1"
0,1,0,0,1,0,1,1,0,1,3,1,1,2,0,0,0,1,"D1=[0,1,0,0]; D2=[1,0,1]; D3=[1,0,1]; D4=3; D5=1; D6=1; D7=2; D8=[0,0,0,1]",45,"D5=1_D6=1"
0,1,1,0,0,2,1,1,0,0,0,1,1,0,1,0,1,0,"D1=[0,1,1,0]; D2=[0,2,1]; D3=[1,0,0]; D4=0; D5=1; D6=1; D7=0; D8=[1,0,1,0]",46,"D5=1_D6=1"
0,0,1,0,0,1,0,1,1,0,0,1,1,2,0,1,1,0,"D1=[0,0,1,0]; D2=[0,1,0]; D3=[1,1,0]; D4=0; D5=1; D6=1; D7=2; D8=[0,1,1,0]",47,"D5=1_D6=1"
1,0,1,0,2,0,1,0,1,0,0,1,1,2,1,0,1,1,"D1=[1,0,1,0]; D2=[2,0,1]; D3=[0,1,0]; D4=0; D5=1; D6=1; D7=2; D8=[1,0,1,1]",48,"D5=1_D6=1"
0,1,0,0,2,1,1,0,1,0,2,1,1,2,0,0,1,0,"D1=[0,1,0,0]; D2=[2,1,1]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=2; D8=[0,0,1,0]",49,"D5=1_D6=1"
1,0,1,1,0,1,1,0,1,1,3,1,1,0,0,1,1,0,"D1=[1,0,1,1]; D2=[0,1,1]; D3=[0,1,1]; D4=3; D5=1; D6=1; D7=0; D8=[0,1,1,0]",50,"D5=1_D6=1"
0,1,0,0,0,1,1,1,1,0,3,1,1,0,1,0,0,0,"D1=[0,1,0,0]; D2=[0,1,1]; D3=[1,1,0]; D4=3; D5=1; D6=1; D7=0; D8=[1,0,0,0]",51,"D5=1_D6=1"
0,1,0,1,1,0,1,1,1,0,2,1,1,1,0,1,0,1,"D1=[0,1,0,1]; D2=[1,0,1]; D3=[1,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[0,1,0,1]",52,"D5=1_D6=1"
0,1,0,0,1,0,1,1,0,1,3,1,1,2,1,0,0,0,"D1=[0,1,0,0]; D2=[1,0,1]; D3=[1,0,1]; D4=3; D5=1; D6=1; D7=2; D8=[1,0,0,0]",53,"D5=1_D6=1"
0,1,0,1,2,0,0,0,1,1,0,1,1,2,1,1,1,0,"D1=[0,1,0,1]; D2=[2,0,0]; D3=[0,1,1]; D4=0; D5=1; D6=1; D7=2; D8=[1,1,1,0]",54,"D5=1_D6=1"
0,0,1,0,2,0,2,0,1,1,1,1,1,1,0,1,0,0,"D1=[0,0,1,0]; D2=[2,0,2]; D3=[0,1,1]; D4=1; D5=1; D6=1; D7=1; D8=[0,1,0,0]",55,"D5=1_D6=1"
0,0,1,0,2,1,2,1,0,1,1,1,1,2,0,1,1,0,"D1=[0,0,1,0]; D2=[2,1,2]; D3=[1,0,1]; D4=1; D5=1; D6=1; D7=2; D8=[0,1,1,0]",56,"D5=1_D6=1"
0,1,0,1,2,2,2,1,1,1,3,1,1,2,1,0,1,0,"D1=[0,1,0,1]; D2=[2,2,2]; D3=[1,1,1]; D4=3; D5=1; D6=1; D7=2; D8=[1,0,1,0]",57,"D5=1_D6=1"
1,0,0,0,2,1,0,1,1,0,3,1,1,1,0,1,0,1,"D1=[1,0,0,0]; D2=[2,1,0]; D3=[1,1,0]; D4=3; D5=1; D6=1; D7=1; D8=[0,1,0,1]",58,"D5=1_D6=1"
0,1,0,0,0,0,2,1,0,0,1,0,2,1,0,0,1,1,"D1=[0,1,0,0]; D2=[0,0,2]; D3=[1,0,0]; D4=1; D5=0; D6=2; D7=1; D8=[0,0,1,1]",59,"D5=0_D6=2"
1,0,0,0,2,0,1,0,1,0,2,0,2,1,1,1,1,1,"D1=[1,0,0,0]; D2=[2,0,1]; D3=[0,1,0]; D4=2; D5=0; D6=2; D7=1; D8=[1,1,1,1]",60,"D5=0_D6=2"
0,1,1,1,0,1,0,0,0,1,1,0,2,1,0,0,0,1,"D1=[0,1,1,1]; D2=[0,1,0]; D3=[0,0,1]; D4=1; D5=0; D6=2; D7=1; D8=[0,0,0,1]",61,"D5=0_D6=2"
1,0,1,0,0,0,1,1,1,1,1,0,2,1,1,0,0,0,"D1=[1,0,1,0]; D2=[0,0,1]; D3=[1,1,1]; D4=1; D5=0; D6=2; D7=1; D8=[1,0,0,0]",62,"D5=0_D6=2"
1,0,0,0,0,1,0,1,1,1,2,0,2,2,0,1,0,1,"D1=[1,0,0,0]; D2=[0,1,0]; D3=[1,1,1]; D4=2; D5=0; D6=2; D7=2; D8=[0,1,0,1]",63,"D5=0_D6=2"
1,1,0,0,0,1,2,1,1,0,2,0,2,2,1,1,0,0,"D1=[1,1,0,0]; D2=[0,1,2]; D3=[1,1,0]; D4=2; D5=0; D6=2; D7=2; D8=[1,1,0,0]",64,"D5=0_D6=2"
1,0,0,1,1,2,0,1,0,1,3,0,2,2,0,1,0,1,"D1=[1,0,0,1]; D2=[1,2,0]; D3=[1,0,1]; D4=3; D5=0; D6=2; D7=2; D8=[0,1,0,1]",65,"D5=0_D6=2"
1,1,0,1,2,2,0,0,0,1,4,0,2,2,0,1,1,1,"D1=[1,1,0,1]; D2=[2,2,0]; D3=[0,0,1]; D4=4; D5=0; D6=2; D7=2; D8=[0,1,1,1]",66,"D5=0_D6=2"
0,1,1,0,0,1,1,1,0,1,1,0,2,2,0,0,0,1,"D1=[0,1,1,0]; D2=[0,1,1]; D3=[1,0,1]; D4=1; D5=0; D6=2; D7=2; D8=[0,0,0,1]",67,"D5=0_D6=2"
0,0,0,1,2,1,0,1,1,1,4,0,2,2,0,1,0,1,"D1=[0,0,0,1]; D2=[2,1,0]; D3=[1,1,1]; D4=4; D5=0; D6=2; D7=2; D8=[0,1,0,1]",68,"D5=0_D6=2"
0,0,1,1,2,2,0,1,1,1,2,0,2,2,0,1,1,1,"D1=[0,0,1,1]; D2=[2,2,0]; D3=[1,1,1]; D4=2; D5=0; D6=2; D7=2; D8=[0,1,1,1]",69,"D5=0_D6=2"
0,1,1,0,0,1,1,1,1,1,3,0,2,1,1,1,0,0,"D1=[0,1,1,0]; D2=[0,1,1]; D3=[1,1,1]; D4=3; D5=0; D6=2; D7=1; D8=[1,1,0,0]",70,"D5=0_D6=2"
0,1,1,1,2,1,2,0,1,1,0,0,2,2,1,0,0,1,"D1=[0,1,1,1]; D2=[2,1,2]; D3=[0,1,1]; D4=0; D5=0; D6=2; D7=2; D8=[1,0,0,1]",71,"D5=0_D6=2"
1,0,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,"D1=[1,0,1,0]; D2=[0,0,0]; D3=[0,0,1]; D4=1; D5=0; D6=2; D7=0; D8=[1,1,0,1]",72,"D5=0_D6=2"
1,0,0,1,0,0,1,0,1,0,2,1,2,1,1,1,0,0,"D1=[1,0,0,1]; D2=[0,0,1]; D3=[0,1,0]; D4=2; D5=1; D6=2; D7=1; D8=[1,1,0,0]",73,"D5=1_D6=2"
1,1,1,1,2,2,1,1,1,1,3,1,2,1,1,0,1,1,"D1=[1,1,1,1]; D2=[2,2,1]; D3=[1,1,1]; D4=3; D5=1; D6=2; D7=1; D8=[1,0,1,1]",74,"D5=1_D6=2"
0,0,0,1,0,0,1,1,0,1,3,1,2,0,1,1,0,0,"D1=[0,0,0,1]; D2=[0,0,1]; D3=[1,0,1]; D4=3; D5=1; D6=2; D7=0; D8=[1,1,0,0]",75,"D5=1_D6=2"
1,0,1,1,2,0,0,1,1,1,0,1,2,2,1,1,0,0,"D1=[1,0,1,1]; D2=[2,0,0]; D3=[1,1,1]; D4=0; D5=1; D6=2; D7=2; D8=[1,1,0,0]",76,"D5=1_D6=2"
1,0,1,1,2,0,2,0,1,0,3,1,2,0,0,1,0,0,"D1=[1,0,1,1]; D2=[2,0,2]; D3=[0,1,0]; D4=3; D5=1; D6=2; D7=0; D8=[0,1,0,0]",77,"D5=1_D6=2"
1,1,0,1,1,2,2,0,1,1,4,1,2,2,0,0,1,0,"D1=[1,1,0,1]; D2=[1,2,2]; D3=[0,1,1]; D4=4; D5=1; D6=2; D7=2; D8=[0,0,1,0]",78,"D5=1_D6=2"
0,1,1,0,2,1,0,1,0,1,2,1,2,1,1,0,0,1,"D1=[0,1,1,0]; D2=[2,1,0]; D3=[1,0,1]; D4=2; D5=1; D6=2; D7=1; D8=[1,0,0,1]",79,"D5=1_D6=2"
1,1,1,1,0,1,2,0,0,1,2,1,2,1,0,1,1,0,"D1=[1,1,1,1]; D2=[0,1,2]; D3=[0,0,1]; D4=2; D5=1; D6=2; D7=1; D8=[0,1,1,0]",80,"D5=1_D6=2"
0,1,1,1,1,0,2,1,0,0,1,1,2,1,1,1,1,1,"D1=[0,1,1,1]; D2=[1,0,2]; D3=[1,0,0]; D4=1; D5=1; D6=2; D7=1; D8=[1,1,1,1]",81,"D5=1_D6=2"
1,0,1,1,2,0,1,0,1,1,0,1,2,0,0,1,0,0,"D1=[1,0,1,1]; D2=[2,0,1]; D3=[0,1,1]; D4=0; D5=1; D6=2; D7=0; D8=[0,1,0,0]",82,"D5=1_D6=2"
0,1,1,1,1,2,2,0,1,0,0,1,2,1,0,1,1,1,"D1=[0,1,1,1]; D2=[1,2,2]; D3=[0,1,0]; D4=0; D5=1; D6=2; D7=1; D8=[0,1,1,1]",83,"D5=1_D6=2"
1,0,1,0,1,1,2,0,1,0,1,1,2,0,0,0,1,1,"D1=[1,0,1,0]; D2=[1,1,2]; D3=[0,1,0]; D4=1; D5=1; D6=2; D7=0; D8=[0,0,1,1]",84,"D5=1_D6=2"
0,1,0,1,0,0,2,1,1,1,1,1,2,1,1,0,0,1,"D1=[0,1,0,1]; D2=[0,0,2]; D3=[1,1,1]; D4=1; D5=1; D6=2; D7=1; D8=[1,0,0,1]",85,"D5=1_D6=2"
0,0,1,0,1,1,1,0,1,0,2,1,2,0,0,1,0,1,"D1=[0,0,1,0]; D2=[1,1,1]; D3=[0,1,0]; D4=2; D5=1; D6=2; D7=0; D8=[0,1,0,1]",86,"D5=1_D6=2"
0,1,0,1,1,1,1,0,1,0,3,2,2,0,1,0,0,0,"D1=[0,1,0,1]; D2=[1,1,1]; D3=[0,1,0]; D4=3; D5=2; D6=2; D7=0; D8=[1,0,0,0]",87,"D5=2_D6=2"
1,1,1,0,0,0,2,1,0,1,0,2,2,0,0,1,1,0,"D1=[1,1,1,0]; D2=[0,0,2]; D3=[1,0,1]; D4=0; D5=2; D6=2; D7=0; D8=[0,1,1,0]",88,"D5=2_D6=2"
1,1,0,0,1,1,0,1,1,0,2,2,2,2,1,0,1,0,"D1=[1,1,0,0]; D2=[1,1,0]; D3=[1,1,0]; D4=2; D5=2; D6=2; D7=2; D8=[1,0,1,0]",89,"D5=2_D6=2"
1,1,0,0,0,2,2,0,1,1,0,2,2,0,0,1,0,1,"D1=[1,1,0,0]; D2=[0,2,2]; D3=[0,1,1]; D4=0; D5=2; D6=2; D7=0; D8=[0,1,0,1]",90,"D5=2_D6=2"
1,1,1,0,2,2,0,0,1,0,4,2,2,1,1,0,1,0,"D1=[1,1,1,0]; D2=[2,2,0]; D3=[0,1,0]; D4=4; D5=2; D6=2; D7=1; D8=[1,0,1,0]",91,"D5=2_D6=2"
0,0,0,1,2,1,1,1,0,0,1,2,2,1,0,1,1,0,"D1=[0,0,0,1]; D2=[2,1,1]; D3=[1,0,0]; D4=1; D5=2; D6=2; D7=1; D8=[0,1,1,0]",92,"D5=2_D6=2"
1,0,0,0,2,1,1,0,0,1,2,2,2,0,0,1,0,1,"D1=[1,0,0,0]; D2=[2,1,1]; D3=[0,0,1]; D4=2; D5=2; D6=2; D7=0; D8=[0,1,0,1]",93,"D5=2_D6=2"
0,0,0,1,2,2,0,0,1,0,2,2,2,0,0,1,0,0,"D1=[0,0,0,1]; D2=[2,2,0]; D3=[0,1,0]; D4=2; D5=2; D6=2; D7=0; D8=[0,1,0,0]",94,"D5=2_D6=2"
1,1,1,0,0,2,2,0,0,1,1,2,2,1,0,0,1,0,"D1=[1,1,1,0]; D2=[0,2,2]; D3=[0,0,1]; D4=1; D5=2; D6=2; D7=1; D8=[0,0,1,0]",95,"D5=2_D6=2"
1,1,0,1,2,0,1,1,0,0,0,2,2,1,1,1,0,0,"D1=[1,1,0,1]; D2=[2,0,1]; D3=[1,0,0]; D4=0; D5=2; D6=2; D7=1; D8=[1,1,0,0]",96,"D5=2_D6=2"
0,1,1,0,0,1,0,1,1,0,3,2,2,1,1,0,1,0,"D1=[0,1,1,0]; D2=[0,1,0]; D3=[1,1,0]; D4=3; D5=2; D6=2; D7=1; D8=[1,0,1,0]",97,"D5=2_D6=2"
0,0,1,0,1,0,1,0,0,1,1,2,2,0,0,1,1,0,"D1=[0,0,1,0]; D2=[1,0,1]; D3=[0,0,1]; D4=1; D5=2; D6=2; D7=0; D8=[0,1,1,0]",98,"D5=2_D6=2"
1,1,1,1,0,1,0,1,1,1,1,2,2,0,1,0,0,1,"D1=[1,1,1,1]; D2=[0,1,0]; D3=[1,1,1]; D4=1; D5=2; D6=2; D7=0; D8=[1,0,0,1]",99,"D5=2_D6=2"
0,1,1,0,1,0,2,1,0,0,3,2,2,2,0,1,0,0,"D1=[0,1,1,0]; D2=[1,0,2]; D3=[1,0,0]; D4=3; D5=2; D6=2; D7=2; D8=[0,1,0,0]",100,"D5=2_D6=2"
